Ligand.ApprovedSymbol,Receptor.ApprovedSymbol,Ligand.ApprovedSymbol,Receptor.ApprovedSymbol
A2M,LRP1,A2m,Lrp1
AANAT,MTNR1A,Aanat,Mtnr1a
AANAT,MTNR1B,Aanat,Mtnr1b
ADAM12,ITGA9,Adam12,Itga9
ADAM12,ITGB1,Adam12,Itgb1
ADAM12,SDC4,Adam12,Sdc4
ADAM15,ITGA5,Adam15,Itga5
ADAM15,ITGA9,Adam15,Itga9
ADAM15,ITGB1,Adam15,Itgb1
ADAM15,ITGB3,Adam15,Itgb3
ADAM17,ITGA5,Adam17,Itga5
ADAM17,ITGB1,Adam17,Itgb1
ADAM23,ITGA5,Adam23,Itga5
ADAM23,ITGB3,Adam23,Itgb3
ADAM2,ITGA6,Adam2,Itga6
ADAM2,ITGB1,Adam2,Itgb1
ADAM9,ITGA6,Adam9,Itga6
ADAM9,ITGAV,Adam9,Itgav
ADAM9,ITGB1,Adam9,Itgb1
ADAM9,ITGB5,Adam9,Itgb5
ADCYAP1,ADCYAP1R1,Adcyap1,Adcyap1r1
ADCYAP1,VIPR1,Adcyap1,Vipr1
ADCYAP1,VIPR2,Adcyap1,Vipr2
ADIPOQ,ADIPOR1,Adipoq,Adipor1
ADIPOQ,ADIPOR2,Adipoq,Adipor2
ADM2,CALCR,Adm2,Calcr
ADM2,CALCRL,Adm2,Calcrl
ADM2,RAMP1,Adm2,Ramp1
ADM,CALCR,Adm,Calcr
ADM,CALCRL,Adm,Calcrl
ADM,GPR182,Adm,Gpr182
ADM,MRGPRX2,Adm,Mrgprx2
ADM,RAMP2,Adm,Ramp2
AGRN,MUSK,Agrn,Musk
AGRP,MC3R,Agrp,Mc3r
AGRP,MC4R,Agrp,Mc4r
AGRP,MC5R,Agrp,Mc5r
AGT,AGTR1,Agt,Agtr1
AGT,AGTR2,Agt,Agtr2
AGT,LRP2,Agt,Lrp2
AGT,MAS1,Agt,Mas1
AMH,AMHR2,Amh,Amhr2
ANGPT1,TEK,Angpt1,Tek
ANGPT1,TIE1,Angpt1,Tie1
ANGPT2,TEK,Angpt2,Tek
ANGPT4,TEK,Angpt4,Tek
ANGPTL1,TEK,Angptl1,Tek
ANXA1,FPR1,Anxa1,Fpr1
ANXA1,FPR2,Anxa1,Fpr2
ANXA1,FPR3,Anxa1,Fpr3
APLN,APLNR,Apln,Aplnr
APOB,LDLR,Apob,Ldlr
APOE,LDLR,Apoe,Ldlr
APOE,LRP5,Apoe,Lrp5
APOE,LRP8,Apoe,Lrp8
APOE,SORL1,Apoe,Sorl1
APOE,VLDLR,Apoe,Vldlr
APP,FPR2,App,Fpr2
AREGB,EGFR,Aregb,Egfr
AREG,EGFR,Areg,Egfr
ARF1,PLD2,Arf1,Pld2
ARTN,GFRA3,Artn,Gfra3
ARTN,RET,Artn,Ret
ASIP,ATRN,Asip,Atrn
ASIP,MC1R,Asip,Mc1r
AVP,AVPR1A,Avp,Avpr1a
AVP,AVPR1B,Avp,Avpr1b
AVP,AVPR2,Avp,Avpr2
AVP,OXTR,Avp,Oxtr
BDNF,NGFR,Bdnf,Ngfr
BDNF,NGFRAP1,Bdnf,Ngfrap1
BDNF,NTRK2,Bdnf,Ntrk2
BMP10,ACVR2A,Bmp10,Acvr2a
BMP10,ACVRL1,Bmp10,Acvrl1
BMP10,BMPR1A,Bmp10,Bmpr1a
BMP10,BMPR1B,Bmp10,Bmpr1b
BMP10,BMPR2,Bmp10,Bmpr2
BMP15,ACVR2A,Bmp15,Acvr2a
BMP15,BMPR1A,Bmp15,Bmpr1a
BMP15,BMPR1B,Bmp15,Bmpr1b
BMP15,BMPR2,Bmp15,Bmpr2
BMP2,ACVR1,Bmp2,Acvr1
BMP2,ACVR2A,Bmp2,Acvr2a
BMP2,ACVR2B,Bmp2,Acvr2b
BMP2,BMPR1A,Bmp2,Bmpr1a
BMP2,BMPR1B,Bmp2,Bmpr1b
BMP2,BMPR2,Bmp2,Bmpr2
BMP3,ACVR2B,Bmp3,Acvr2b
BMP4,BMPR1A,Bmp4,Bmpr1a
BMP4,BMPR1B,Bmp4,Bmpr1b
BMP4,BMPR2,Bmp4,Bmpr2
BMP5,BMPR1A,Bmp5,Bmpr1a
BMP6,ACVR1,Bmp6,Acvr1
BMP6,ACVR2A,Bmp6,Acvr2a
BMP6,BMPR1A,Bmp6,Bmpr1a
BMP6,BMPR1B,Bmp6,Bmpr1b
BMP6,BMPR2,Bmp6,Bmpr2
BMP7,ACVR1,Bmp7,Acvr1
BMP7,ACVR2A,Bmp7,Acvr2a
BMP7,ACVR2B,Bmp7,Acvr2b
BMP7,BMPR1A,Bmp7,Bmpr1a
BMP7,BMPR1B,Bmp7,Bmpr1b
BMP7,BMPR2,Bmp7,Bmpr2
BTC,EGFR,Btc,Egfr
BTC,ERBB3,Btc,Erbb3
BTC,ERBB4,Btc,Erbb4
BTLA,TNFRSF14,Btla,Tnfrsf14
C3,C3AR1,C3,C3ar1
C3,ITGAX,C3,Itgax
C3,ITGB2,C3,Itgb2
C3,LRP1,C3,Lrp1
C5,C5AR1,C5,C5ar1
C5,C5AR2,C5,C5ar2
CALCA,CALCR,Calca,Calcr
CALCA,CALCRL,Calca,Calcrl
CALCA,RAMP1,Calca,Ramp1
CALCB,CALCR,Calcb,Calcr
CALCB,CALCRL,Calcb,Calcrl
CALCB,RAMP1,Calcb,Ramp1
CALR,SCARF1,Calr,Scarf1
CAMP,FPR2,Camp,Fpr2
CCK,CCKAR,Cck,Cckar
CCK,CCKBR,Cck,Cckbr
CCL11,ACKR2,Ccl11,Ackr2
CCL11,CCR2,Ccl11,Ccr2
CCL11,CCR3,Ccl11,Ccr3
CCL11,CCR5,Ccl11,Ccr5
CCL11,CXCR3,Ccl11,Cxcr3
CCL13,ACKR2,Ccl13,Ackr2
CCL13,CCR1,Ccl13,Ccr1
CCL13,CCR2,Ccl13,Ccr2
CCL13,CCR3,Ccl13,Ccr3
CCL13,CCR5,Ccl13,Ccr5
CCL13,CXCR3,Ccl13,Cxcr3
CCL14,ACKR2,Ccl14,Ackr2
CCL14,CCR1,Ccl14,Ccr1
CCL14,CCR5,Ccl14,Ccr5
CCL15,CCR1,Ccl15,Ccr1
CCL15,CCR3,Ccl15,Ccr3
CCL16,CCR1,Ccl16,Ccr1
CCL16,CCR2,Ccl16,Ccr2
CCL16,CCR5,Ccl16,Ccr5
CCL16,HRH4,Ccl16,Hrh4
CCL17,CCR4,Ccl17,Ccr4
CCL17,CCR8,Ccl17,Ccr8
CCL19,ACKR4,Ccl19,Ackr4
CCL19,CCR7,Ccl19,Ccr7
CCL19,CCRL2,Ccl19,Ccrl2
CCL19,CXCR3,Ccl19,Cxcr3
CCL1,CCR8,Ccl1,Ccr8
CCL20,CCR6,Ccl20,Ccr6
CCL20,CXCR3,Ccl20,Cxcr3
CCL21,ACKR4,Ccl21,Ackr4
CCL21,CCR7,Ccl21,Ccr7
CCL21,CXCR3,Ccl21,Cxcr3
CCL22,CCR4,Ccl22,Ccr4
CCL23,CCR1,Ccl23,Ccr1
CCL24,CCR2,Ccl24,Ccr2
CCL24,CCR3,Ccl24,Ccr3
CCL25,ACKR4,Ccl25,Ackr4
